任务,有限完成口径,已有真实结果,采纳结论及剩余条件
任01,启动/单卡恢复已验收,1轮S 2.349495℃；无收益,不采用短跑；多卡恢复未验收
任02,单种子排程验收／回退,S0/S1 2.263391/2.234299℃；S1改善1.285%,p95恶化，保留S0；不是五seed策略验证
任03,LF拟合证据／HF替换回退,LF空间体积平均恶化2.2635%,HF顶部/p95护栏失败；LF收益不是HF收益
任04,单种子联合方向受限保留,冻结/联合best 2.218200/2.143757℃；改善3.3560%,最佳能源均值/p95更差，末态退化；不换B0
任05,顺序条件判定有限完成,甲乙丙未触发，新增训练候选0个,原FEM/分项定位/独立标定缺；不是物理修复
任06,三臂600轮及六能源验收,三臂best均0轮S 2.143757℃,E1/E2无收益，不采用；仅E0进入07
任07,五seed观测重复性受限冻结,S 2.187870±0.079972℃；历史B0 2.001603±0.066705℃,历史每seed更优；乙非物理合格；径向720点已版本化补齐
任08,F2五seed/15能源受限完成,F2 S 1.997623±0.089677℃；best能源 2205.722±208.477W,原装置F1独立物理与严格F3贡献未齐；能源不合格
任09,F3主序列数据效率受限完成,HF3/6/9 best 4.378246/2.003126/2.126908℃,HF9比HF6差0.123782℃；所需数量/节省null，无子集方差
任10,人为一维板25模型九档受限完成,隐藏同物理F3较F2差1.6485%%；失配改善8.6412%%,仅数值板；非原RZ内场/任12实测；无安全W阈值，F4缺
